year	code	question	responses
2015		landline or cell phone	Landline Only, Landline and Cell Phone, Cell Phone Only, Refused
2015	BMI		Underweight, Normal weight, Overweight, Obese
2015	Q10	do you own your home rent or something else	I own my home, I rent my home, I live with family or friends who own, I live with family or friends who rent, Vol: I live in a Retirement Community/Senior Care, Other, Refused, Other (specify)
2015	Q12	when you think about your present residence would you say you are very satisfied somewhat satisfied somewhat unsatisfied or very unsatisfied with its affordability	Very satisfied, Somewhat satisfied, Somewhat unsatisfied, Very unsatisfied, Don't know, Refused
2015	Q14	10 years from now do you think that you will own a home rent an apartment or be living in some other setting	Own a home, Rent an apartment, Live with family or friends who own, Live with family or friends who rent, Nursing home or institution, Vol: Deceased, Other, Refused
2015	Q15	when do you think you will be in the market to purchase a home	Less than one year from now, At least one year but less than two years, At least two years but less than five years, At least five years but less than ten years, Ten years or more, Never in my lifetime, Don't know, Refused
2015	Q16A	many stores banks markets or places to go are within easy walking distance of my home	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16B	there are safe sidewalks and crosswalks on most of the streets in my neighborhood	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16C	there are places to bicycle in or near my neighborhood that are safe from traffic such as on the street or on special lanes separate paths or trails	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16D	my neighborhood has several free or low cost recreation facilities such as parks playgrounds public swimming pools etc	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16E	i do not feel safe to go on walks in my neighborhood at night	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16F	people in this neighborhood can be trusted	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q16G	children and youth in my town generally have the positive role models they need around here	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused
2015	Q17	if the fire station closest to your home was going to be closed down by your city or town how likely is it that neighborhood residents would organize to try to do something to keep the fire station open	Very likely, Somewhat likely, Not very likely, Not at all likely, Don't know, Refused
2015	Q18	the next set of questions are about your health how would you rate your overall health would you say your health is excellent very good good fair or poor	Excellent, Very good, Good, Fair, Poor, Don't know, Refused
2015	Q19	overall how satisfied are you with your life nowadays	Not at all satisfied, Only a little bit satisfied, Somewhat satisfied, Mostly satisfied, Completely satisfied, Don't know, Refused
2015	Q2	as a place to live is the city or area where you live getting much better getting somewhat better remaining about the same getting somewhat worse or getting much worse	Much better, Somewhat better, About the same, Somewhat worse, Much worse, Don't know, Refused
2015	Q20	overall how happy did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q21	overall how anxious did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q22	overall to what extent do you have the time you need to do things that you really enjoy	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2015	Q23C1	a test of a one c measures the average level of blood sugar over the past three months about how many times in the past 12 months has a doctor nurse or other health professional checked you for a one c	None, Once, Twice, Three times, Four times, Five or more times, Never heard of it, Don't know, Refused, Vol: Never heard of it
2015	Q23E1	during the past 30 days how often have you used a prescription asthma inhaler during an asthma attack to stop it	Never (no attacks in the last 30 days), Once a week or less, Twice a week, 3 to 6 times a week, Once a day, More than once a day, Don't know, Refused
2015	Q27	what type of health insurance do you have	Insurance obtained through a current or former employer or union [IF NEEDED: Of you or a family member], Insurance purchased directly from an insurance company [IF NEEDED: By you or a family member], Medicare [IF NEEDED: For people 65 and older, or people with certain disabilities], Medicaid, Medical Assistance, HUSKY or any kind of government-assistance plan [IF NEEDED: For those with low incomes or a disability], Any other type of health insurance plan, Don't know, Refused
2015	Q30O	any other reason	Other, No, Don't know, Refused
2015	Q32	do you have one person or place you think of as your personal doctor or health care provider	Yes, No, Don't know, Refused
2015	Q33	is that because you have more than one personal doctor or none at all	More than one, None at all, Don't know, Refused
2015	Q34	in the past 12 months how many times did you receive care in a hospital emergency room	None, 1 to 2, 3 or more, Don't know, Refused
2015	Q35	when was the last time you were seen by a dentist was it	Within the last 6 months, More than 6 months but less than a year, More than a year but less than two years, More than two years ago, Never have gone to a dentist, Don't know, Refused
2015	Q36	during the last month how often have you been bothered by feeling down depressed or hopeless would you say	Never, Almost never, Sometimes, Fairly often, Very often, Don't know, Refused
2015	Q38	in an average week how many days per week do you exercise	None, One, Two, Three, Four, Five, Six, Seven, Don't know, Refused
2015	Q3A	how responsive local government is to the needs of residents	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q3B	the availability of the goods and services that meet your needs	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q3C	the job done by the police to keep residents safe	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q3D	the ability of residents to obtain suitable employment	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q3E	as a place to raise children	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q3F	the condition of public parks and other public recreational facilities	Excellent, Good, Fair, Poor, Don't know enough about it in order to say, Refused
2015	Q40	have you smoked at least 100 cigarettes in your entire life	Yes, No, Don't know, Refused
2015	Q41	do you currently smoke cigarettes every day some days or not at all	Every day, Some days, Not at all, Don't know, Refused, Smoking Prevalence (Based on Q40 & Q41), Smoking Prevalence (Based on Q40 &Q41)
2015	Q42	during the past 12 months have you stopped smoking cigarettes for 24 hours or longer because you were trying to quit	Yes, No, Don't know, Refused
2015	Q44	during the past 30 days on how many days did you use these	None, Less than 7 days, 7 to 14 days, More than 14 days, Don't know, Refused
2015	Q45	how well would you say you are managing financially these days would you say you are	Living comfortably, Doing alright, Just getting by, Finding it difficult, Finding it very difficult, Don't know, Refused
2015	Q46	think of your parents when they were your age would you say you are better off financially than they were or not	Better off, Not, Same, Don't know, Refused, Vol: Same
2015	Q47	if you lost all your current sources of household income including your paycheck public assistance or other forms of income about how long do you think you could continue to live as you live today	Less than a month, At least one month but less than 2, At least 2 months but less than 6, At least 6 months but less than a year, At least a year but less than 2 years, Two years or more, Don't know, Refused
2015	Q48	have you had a paid job in the last 30 days	Yes, No, but would like to work, No, retired, No, homemaker, No, full time student, No, disabled, No, other, Refused, No, other (specify)
2015	Q49	for how long have you not had a paid job	Less than 6 months, At least 6 months but less than a year, 1 to 2 years, 2 to 4 years, 5 or more years, Have never had a job in my lifetime, Refused
2015	Q5	how would you describe your ability to influence localgovernment decision making would you say that you have great influence moderate influence a little influence or no influence at all	Great influence, Moderate influence, A little influence, No influence at all, Don't know, Refused
2015	Q50	during this time has your job been full time or part time	Full time, Part time, Other, Refused, Other (specify), Vol: Other
2015	Q51	are you working parttime by choice or would you rather have a fulltime job	By choice, Rather have a full time job, Refused
2015	Q52	in total how many hours per week do you work at paying jobs	Less than 30 hours, 30 to 49 hours, 50 to 79 hours, 80 hours or more, Refused
2015	Q53	over the past 5 years was there ever a time when you were out of work and looking for a job	Yes, No, Don't know, Refused
2015	Q54	does your current job pay more less or about the same as your last job	More, Less, About the same, Don't know, Refused
2015	Q55	do you feel you have both the education and training necessary to get ahead in your job or career or do you need either more education or training	Have necessary education and training, Need more, Don't know, Refused
2015	Q56	do you feel you have both the education and training necessary to get the kind of job you want or do you need either more education or training	Have necessary education and training, Need more, Don't know, Refused
2015	Q57	what is your primary means of transportation to work school or the place where you spend most of your time outside of home	Drive myself, Get a ride with friends or family, Public bus system, Train or railroad, Walk, Bicycle, Take a taxi, Ride paratransit, Other, I took no trips last month/Homebound, Don't know, Refused, Vol: Ride paratransit, Vol: Other, Vol: I took no trips last month/Homebound
2015	Q58	how many minutes does it usually take to get from home to work one way	Less than 15 minutes, 15 to 29 minutes, 30 to 59 minutes, 60 to 89 minutes, 90 minutes or more, Refused
2015	Q59	what is your marital status	Single, never married, Married or civil union, Living with partner, Separated, Divorced, Widowed, Refused
2015	Q60	how many children under the age of 18 are living in household	None, 1 to 2, 3 or more, Refused
2015	Q61	how many children living in the household have not yet started kindergarten	None, 1 to 2, 3 or more, Refused
2015	Q62	what is the number of adults 18 and older living in the household	One, Two, Three, Four or more, Refused
2015	Q63	which of these devices do you have	A computer or tablet with internet access, A smartphone, A cell phone with text and calling only but no internet, None of the above, Refused
2015	Q65	how often did this happen almost every month some months but not every month or in only 1 or 2 months	Almost every month, Some months but not every month, Only 1 or 2 months, Don't know, Refused
2015	Q7	during the past 12 months how often have you utilized arts and cultural resources within the area such as concerts museums or cultural events	Very often, Fairly often, Sometimes, Almost never, Never at all, Don't know, Refused
2015	Q72	how many times did this happen to you in the last 12 months	Once, Twice, Three or more, Refused
2015	Q77	what actions were taken	Visited the scene, Made a report, Looked for suspect, Filed charges, Made an arrest, Other, Vol: Visited the scene, Vol: Made a report, Vol: Looked for suspect, Vol: Filed charges, Vol: Made an arrest
2015	Q78	how satisfied were you with the actions that the police took	Very satisfied, Somewhat satisfied, Somewhat unsatisfied, Very unsatisfied, Don't know, Refused
2015	Q8	do you have access to a car when you need it would you say you have access	Very often, Fairly often, Sometimes, Almost never, Never at all, Don't know, Refused
2015	Q81	what language is the primary language spoken in your home	Spanish, Chinese (Cantonese, Mandarin), French, German, Tagalog, Vietnamese, Italian, Korean, Russian, Polish, Arabic, Portuguese, Japanese, Other, Refused, Other (specify)
2015	Q83	many people in our community that we have talked to today are not currently us citizens some have green cards some have visas and others dont i assure you that we do not have any relationship with us authorities your identity will never be revealed this is for research purposes only are you	A naturalized U.S. citizen, A legal permanent resident or green card holder, Not a permanent resident but have some other type of visa, None of these, Don't know, Refused
2015	Q84	how many years have you lived in the united states	Less than 5, 5 to 10, 11 to 20, More than 20, Refused
2015	Q9	how long have you lived at your current address would that be	Less than one year, At least one year but less than two years, At least two years but less than five years, At least five years but less than ten years, Ten years or more, Don't know, Refused
2018	ALCOHOL	considering all types of alcoholic beverages how many times during the past 30 days did you have <4 women 5 men> or more drinks on an occasion	None, One to five, Six to ten, More than ten, Don't know, Refused
2018	ALCOHOL	considering all types of alcoholic beverages how many times during the past 30 days did you have <5 for men 4 for women> or more drinks on an occasion	None, One to five, Six to ten, More than ten, Don't know, Refused
2018	ALCOHOL	considering all types of alcoholic beverages how many times during the past 30 days did you have <5 for men Â­ 4 for women> or more drinks on an occasion	None, One to five, Six to ten, More than ten, Don't know, Refused
2018	BMI	bmi	Underweight, Normal weight, Overweight, Obese
2018	BMIR	bmi	Underweight, Normal weight, Overweight, Obese
2018	CHILDCARE	how easy or hard do you think it is to find child care for children who are not yet schoolage in your community that is both affordable and of high quality very easy somewhat easy somewhat hard or very hard	Very easy, Somewhat easy, Somewhat hard, Very hard, Don't know, Refused
2018	DEBT	suppose you and others in your household were to sell all of your major possessions turn all of your investments and other assets into cash and pay off all of your debts would you have something left over break even or be in debt	Something left over, Break even, Be in debt, Don't know, Refused
2018	DISCRIM1	at any time in your life have you ever been unfairly fired unfairly denied a promotion or raise or not hired for a job for unfair reasons	Yes, No, Don't know, Refused
2018	DISCRIM1_1	how many times did this happen to you during the past 3 years	Once every week or more, A few times every month, A few times every year, A few times in the past 3 years, Once, Never in the past 3 years, Don't know, Refused
2018	DISCRIM1_2	what do you think is the main reason for these experiences	Your Ancestry or National Origins, Your Gender, Your Race, Your Age, Your Religion, Your Height, Your Weight, Some other Aspect of Your Physical Appearance, Your Sexual Orientation, Your Education or Income Level, A physical disability, Don't know, Refused
2018	DISCRIM2_1	how many times did this happen to you during the past 3 years	Once every week or more, A few times every month, A few times every year, A few times in the past 3 years, Once, Never in the past 3 years, Don't know, Refused
2018	DISCRIM2_2	what do you think is the main reason for these experiences	Your Ancestry or National Origins, Your Gender, Your Race, Your Age, Your Religion, Your Height, Your Weight, Some other Aspect of Your Physical Appearance, Your Sexual Orientation, Your Education or Income Level, A physical disability, Don't know, Refused
2018	DISCRIM2_3	when this happened during the past 3 years where did this happen	In a car, Walking or biking along a street, At a bus stop, Inside a bus, At a public park, Inside a house or apartment, Inside a store, Someplace else Other, Don't know, Refused, Someplace else
2018	DISCRIM3_1	how many times did this happen to you during the past 3 years	Once every week or more, A few times every month, A few times every year, A few times in the past 3 years, Once, Never in the past 3 years, Don't know, Refused
2018	DISCRIM3_2	what do you think is the main reason for these experiences	Your Ancestry or National Origins, Your Gender, Your Race, Your Age, Your Religion, Your Height, Your Weight, Some other Aspect of Your Physical Appearance, Your Sexual Orientation, Your Education or Income Level, A physical disability, Don't know, Refused
2018	DISCRIM4_1	how many times did this happen to you during the past 3 years	Once every week or more, A few times every month, A few times every year, A few times in the past 3 years, Once, Never in the past 3 years, Don't know, Refused
2018	DISCRIM4_2	what do you think is the main reason for these experiences	Your Ancestry or National Origins, Your Gender, Your Race, Your Age, Your Religion, Your Height, Your Weight, Some other Aspect of Your Physical Appearance, Your Sexual Orientation, Your Education or Income Level, A physical disability, Don't know, Refused
2018	DISCRIM5_1	how many times did this happen to you during the past 3 years	Once every week or more, A few times every month, A few times every year, A few times in the past 3 years, Once, Never in the past 3 years, Don't know, Refused
2018	DISCRIM5_2	what do you think is the main reason for these experiences	Your Ancestry or National Origins, Your Gender, Your Race, Your Age, Your Religion, Your Height, Your Weight, Some other Aspect of Your Physical Appearance, Your Sexual Orientation, Your Education or Income Level, A physical disability, Your health insurance status, Don't know, Refused
2018	DISCRIM5_3	when this happened during the past 3 years where did this happen	At a doctor's office or when visiting the doctor, At a hospital or emergency room, At a community health center, At an urgent care center, At a pharmacy, At a dentist, Within a nursing home or other facility, When seeking health insurance coverage (in person or online), Someplace else Other, Don't know, Refused, Someplace else
2018	LIFECA	graduate from high school	Almost certain, Very likely, A toss up, Not very likely, Not at all likely, Don't know, Refused, Summary: Almost certain/Very likely, Summary:Almost Certain/Very Likely, Summary: Almost Certain/ Very Likely, Summary: Almost certain/very likely, Summary: Almost Certainly/Very Likely
2018	LIFECB	get a job with opportunities for advancement	Almost certain, Very likely, A toss up, Not very likely, Not at all likely, Don't know, Refused, Summary: Almost certain/Very likely, Summary:Almost Certain/Very Likely, Summary: Almost Certain/ Very Likely, Summary: Almost certain/very likely, Summary: Almost Certainly/Very Likely
2018	LIFECC	be in a gang	Almost certain, Very likely, A toss up, Not very likely, Not at all likely, Don't know, Refused, Summary: Almost certain/Very likely, Summary:Almost Certain/Very Likely, Summary: Almost Certain/ Very Likely, Summary: Almost certain/very likely, Summary: Almost Certainly/Very Likely
2018	LIFECD	abuse drugs or alcohol	Almost certain, Very likely, A toss up, Not very likely, Not at all likely, Don't know, Refused, Summary: Almost certain/Very likely, Summary:Almost Certain/Very Likely, Summary: Almost Certain/ Very Likely, Summary: Almost certain/very likely, Summary: Almost Certainly/Very Likely
2018	LIFECF	get arrested for a felony	Almost certain, Very likely, A toss up, Not very likely, Not at all likely, Don't know, Refused, Summary: Almost certain/Very likely, Summary:Almost Certain/Very Likely, Summary: Almost Certain/ Very Likely, Summary: Almost certain/very likely, Summary: Almost Certainly/Very Likely
2018	MOVEYEAR	in what year did you move into your current home	Within the last 3 years, 4 to 10 years ago, 11 to 19 years ago, 20 or more years ago, Refused
2018	NOCOLLEGE1	which of the following are reasons why you did not attend college	Too expensive, Child care responsibilities, Supported or cared for parents or siblings, Needed to earn money, Wanted to work, Simply was not interested in college, Was not admitted, Did not think benefits of attending college were worth the cost, Other, Don't know, Refused
2018	OPIOID2	i have a few questions about prescription painkillers when we ask about prescription painkillers we mean strong ones sometimes called opioids such as percocet oxycontin or vicodin let me remind you that this is a completely confidential interview do you personally know anyone who has struggled with misuse or addiction to heroin or other opiates such as prescription painkillers at any point during the last 3 years	No, Yes, one person, Yes, 2 to 4 people, Yes, 5 or more people, Don't know, Refused
2018	OPIOID2_1		Yourself, A family member, A close friend, An acquaintance, Don't know, Refused
2018	OPIOID2_1	who do you know that has struggled with this at any point during the past 3 years is it	Yourself, A family member, A close friend, An acquaintance, Don't know, Refused
2018	OPIOID4	do you personally know anyone who has ever died from an opioid overdose	No, Yes, one person, Yes, 2 to 4 people, Yes, 5 or more people, Don't know, Refused
2018	OPIOID4_1		A family member, A close friend, An acquaintance, Don't know, Refused
2018	OPIOID4_1	who do you know that has ever died from an opioid overdose is it	A family member, A close friend, An acquaintance, Don't know, Refused
2018	OWNRECEMOV	please tell me which of the following are reasons that you moved to your current home in <moveyear>	Good financial decision (e.g., building equity, long term investment potential), Better quality or larger home, Closer to work or school, Better quality neighborhood or schools, Relocated to a new city, Change in family status (e.g. marriage, divorce, children), Other, Don't know, Refused
2018	OWNRECEMOV	please tell me which of the following are reasons that you moved to your current home in <year>	Good financial decision (e.g., building equity, long term investment potential), Better quality or larger home, Closer to work or school, Better quality neighborhood or schools, Relocated to a new city, Change in family status (e.g. marriage, divorce, children), Other, Don't know, Refused
2018	POT1	during the past 30 days on how many days did you use marijuana or cannabis	None, One to five, Six to ten, More than ten, Don't know, Refused
2018	POT2	when you used marijuana or cannabis during the past 30 days was it usually	For medical reasons (like to treat or decrease symptoms of a health condition), For nonmedical reasons (like to have fun or fit in), For both medical and nonmedical reasons, Don't know, Refused
2018	Q11	do you own your home rent or something else	I own my home, I rent my home, I live with family or friends who own, I live with family or friends who rent, Other, Refused, Vol: I live in a Retirement Community/Senior Care
2018	Q13R3	how much difficulty did you have trying to get them to fix the probem	None, A little difficulty, Moderate difficulty, Substantial difficulty, Don't know, Refused
2018	Q14R1	do you expect to purchase a home in the next 5 years	Definitely no, Probably no, Probably yes, Definitely yes, Don't know, Refused
2018	Q14R2	how likely is it that that home will be in the state of connecticut	Very likely, Somewhat likely, Not very likely, Not at all likely, Don't know, Refused
2018	Q17A	many stores banks markets or places to go are within easy walking distance of my home	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17B	there are safe sidewalks and crosswalks on most of the streets in my neighborhood	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17C	there are places to bicycle in or near my neighborhood that are safe from traffic such as on the street or on special lanes separate paths or trails	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17E	my neighborhood has several free or low cost recreation facilities such as parks playgrounds public swimming pools etc	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17F	i do not feel safe to go on walks in my neighborhood at night	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17G	people in this neighborhood can be trusted	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17H	children and youth in my town generally have the positive role models they need around here	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q17I	people in this neighborhood are involved in trying to improve the neighborhood	Strongly agree, Somewhat agree, Somewhat disagree, Strongly disagree, Don't know, Refused, Summary: Strongly/Somewhat agree, Summary: Strongly agree/Somewhat agree, Summary: Strongly/Somewhat Agree, Summary: Strongly/Somewhate agree
2018	Q18	if the fire station closest to your home was going to be closed down by your city or town how likely is it that neighborhood residents would organize to try to do something to keep the fire station open	Very likely, Somewhat likely, Not very likely, Not at all likely, Don't know, Refused
2018	Q19	the next set of questions are about your health how would you rate your overall health would you say your health is excellent very good good fair or poor	Excellent, Very good, Good, Fair, Poor, Don't know, Refused, Summary: Excellent/Very Good
2018	Q2	as a place to live is the city or area where you live getting much better getting somewhat better remaining about the same getting somewhat worse or getting much worse	Much better, Somewhat better, About the same, Somewhat worse, Much worse, Don't know, Refused
2018	Q20	overall how satisfied are you with your life nowadays	Not at all satisfied, Only a little bit satisfied, Somewhat satisfied, Mostly satisfied, Completely satisfied, Don't know, Refused
2018	Q21	overall how happy did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2018	Q22	overall how anxious did you feel yesterday	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2018	Q23	overall to what extent do you have the time you need to do things that you really enjoy	Not at all, Only a little bit, Somewhat, Mostly, Completely, Don't know, Refused
2018	Q23C1	a test of a one c measures the average level of blood sugar over the past three months about how many times in the past 12 months has a doctor nurse or other health professional checked you for a one c	One, Two, Three, Four, Five or more, Never heard of it, Don't know, Refused
2018	Q23E1	during the past 30 days how often have you used a prescription asthma inhaler during an asthma attack to stop it	Never (no attacks in the last 30 days), Once a week or less, Twice a week, 3 to 6 times a week, Once a day, More than once a day, Don't know, Refused
2018	Q23E3	during the past 12 months how many times did you visit an emergency room or urgent care center because of your asthma	None, One to two, Three or more, Don't know, Refused
2018	Q23PL	how strongly do you agree with this statement i lead a purposeful and meaningful life do you strongly agree agree slightly agree neither agree nor disagree slightly disagree disagree or strongly disagree	Strongly agree, Agree, Slightly agree, Neither agree nor disagree, Slightly disagree, Disagree, Strongly disagree, Don't know, Refused
2018	Q27		Insurance obtained through a current or former employer or union, Insurance purchased directly from an insurance company, Medicare, Medicaid, Medical Assistance, HUSKY or any kind of government-assistance plan, State Health Insurance Exchange such as Access Health CT or NY State of Health, Any other type of health insurance plan Other, Don't know, Refused
2018	Q27	what type of health insurance do you have	Insurance obtained through a current or former employer or union, Insurance purchased directly from an insurance company, Medicare, Medicaid, Medical Assistance, HUSKY or any kind of government-assistance plan, State Health Insurance Exchange such as Access Health CT or NY State of Health, Any other type of health insurance plan, Don't know, Refused
